"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "GDScript", "compressionTargetFile", "CSS", "JavaScript", "XML", "LEC", "Markdown", "Shell Script", "Rust", "YAML", "C++", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\cfg-if-431372ca34311c9a\lib-cfg-if.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\cfg-if-79cc61de9358cc37\lib-cfg-if.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\chrono-122fa551063b15eb\lib-chrono.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\clap-c15bd1870cc2d92a\lib-clap.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossbeam-channel-249ad5d51ed5ad23\lib-crossbeam-channel.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossbeam-utils-0716ea227675c309\lib-crossbeam-utils.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm-9ef3daa8c3e0b5a2\lib-crossterm.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm-abc107cabefb2810\lib-crossterm.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_cursor-c74edf92f81dcfb6\lib-crossterm_cursor.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_input-5f0bbac68ed688c8\lib-crossterm_input.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_screen-cf16ee997cbe7e58\lib-crossterm_screen.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_style-1d94fb47253755fe\lib-crossterm_style.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_terminal-4f2df7b98c40ca76\lib-crossterm_terminal.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_utils-eee31885f4c1143e\lib-crossterm_utils.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_winapi-0ace8da7cefe7ef4\lib-crossterm_winapi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\crossterm_winapi-f663754ec436a565\lib-crossterm_winapi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\cursive-9170dfe304141b17\lib-cursive.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\enum-map-d9096367fb9feb04\lib-enum-map.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\enum-map-derive-5e39d5f9c2a515f5\lib-enum-map-derive.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\enum-map-internals-a6732e9d9338f031\lib-enum-map-internals.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\enumset-8e38c16e8f273c32\lib-enumset.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\enumset_derive-d168e41e49c2b74d\lib-enumset_derive.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\find_folder-e0fc7a83abeaccc4\lib-find_folder.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\.fingerprint\form_urlencoded-dbeb64c9ae389055\lib-form_urlencoded.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
